"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2020-2021","1","Accomack County","4,863","1","4,864"
"2020-2021","2","Albemarle County","13,499","33","13,532"
"2020-2021","101","Alexandria City","15,775","70","15,845"
"2020-2021","3","Alleghany County","1,952"," ","1,952"
"2020-2021","4","Amelia County","1,627"," ","1,627"
"2020-2021","5","Amherst County","4,045"," ","4,045"
"2020-2021","6","Appomattox County","2,272"," ","2,272"
"2020-2021","7","Arlington County","26,831","2","26,833"
"2020-2021","8","Augusta County","10,147","3","10,150"
"2020-2021","9","Bath County","521"," ","521"
"2020-2021","10","Bedford County","9,173","2","9,175"
"2020-2021","11","Bland County","670"," ","670"
"2020-2021","12","Botetourt County","4,431"," ","4,431"
"2020-2021","102","Bristol City","2,214"," ","2,214"
"2020-2021","13","Brunswick County","1,451"," ","1,451"
"2020-2021","14","Buchanan County","2,516"," ","2,516"
"2020-2021","15","Buckingham County","2,009"," ","2,009"
"2020-2021","103","Buena Vista City","916"," ","916"
"2020-2021","16","Campbell County","7,787"," ","7,787"
"2020-2021","17","Caroline County","4,131"," ","4,131"
"2020-2021","18","Carroll County","3,551","1","3,552"
"2020-2021","19","Charles City County","576"," ","576"
"2020-2021","20","Charlotte County","1,726"," ","1,726"
"2020-2021","104","Charlottesville City","4,255","4","4,259"
"2020-2021","136","Chesapeake City","39,673"," ","39,673"
"2020-2021","21","Chesterfield County","60,840","64","60,904"
"2020-2021","22","Clarke County","1,741","4","1,745"
"2020-2021","202","Colonial Beach","634"," ","634"
"2020-2021","106","Colonial Heights City","2,784"," ","2,784"
"2020-2021","107","Covington City","1,016"," ","1,016"
"2020-2021","23","Craig County","546"," ","546"
"2020-2021","24","Culpeper County","8,254","2","8,256"
"2020-2021","25","Cumberland County","1,223"," ","1,223"
"2020-2021","108","Danville City","5,505"," ","5,505"
"2020-2021","26","Dickenson County","1,967"," ","1,967"
"2020-2021","27","Dinwiddie County","4,209"," ","4,209"
"2020-2021","28","Essex County","1,224"," ","1,224"
"2020-2021","29","Fairfax County","180,028","48","180,076"
"2020-2021","109","Falls Church City","2,500"," ","2,500"
"2020-2021","30","Fauquier County","10,288","4","10,292"
"2020-2021","31","Floyd County","1,831","2","1,833"
"2020-2021","32","Fluvanna County","3,297"," ","3,297"
"2020-2021","135","Franklin City","1,028"," ","1,028"
"2020-2021","33","Franklin County","6,533"," ","6,533"
"2020-2021","34","Frederick County","13,521"," ","13,521"
"2020-2021","110","Fredericksburg City","3,545"," ","3,545"
"2020-2021","111","Galax City","1,323"," ","1,323"
"2020-2021","35","Giles County","2,298","2","2,300"
"2020-2021","36","Gloucester County","5,044"," ","5,044"
"2020-2021","37","Goochland County","2,581","1","2,582"
"2020-2021","38","Grayson County","1,517"," ","1,517"
"2020-2021","39","Greene County","2,928"," ","2,928"
"2020-2021","40","Greensville County","2,137"," ","2,137"
"2020-2021","41","Halifax County","4,690","1","4,691"
"2020-2021","112","Hampton City","19,223","2","19,225"
