County/City,,,"Ralph Shearer Northam","Edward Walter Gillespie","Clifford Daniel Hyra","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",,,"4,876","5,736",54,0,"10,666"
"Albemarle County",,,"26,969","14,857",458,24,"42,308"
"Alexandria City",,,"40,896","10,822",434,37,"52,189"
"Alleghany County",,,"1,478","2,888",36,1,"4,403"
"Amelia County",,,"1,403","3,170",40,1,"4,614"
"Amherst County",,,"3,258","6,431",83,14,"9,786"
"Appomattox County",,,"1,227","3,894",50,1,"5,172"
"Arlington County",,,"68,093","16,268",801,52,"85,214"
"Augusta County",,,"6,030","17,217",311,16,"23,574"
"Bath County",,,450,"1,013",16,3,"1,482"
"Bedford County",,,"6,985","20,573",243,6,"27,807"
"Bland County",,,388,"1,676",20,1,"2,085"
"Botetourt County",,,"3,409","8,965",122,6,"12,502"
"Bristol City",,,"1,242","3,006",43,3,"4,294"
"Brunswick County",,,"2,728","2,010",19,0,"4,757"
"Buchanan County",,,"1,062","3,449",28,3,"4,542"
"Buckingham County",,,"1,924","2,638",36,4,"4,602"
"Buena Vista City",,,529,"1,090",33,3,"1,655"
"Campbell County",,,"4,415","12,791",156,11,"17,373"
"Caroline County",,,"4,126","4,135",96,3,"8,360"
"Carroll County",,,"1,838","6,363",74,2,"8,277"
"Charles City County",,,"1,699","1,000",17,0,"2,716"
"Charlotte County",,,"1,419","2,559",31,5,"4,014"
"Charlottesville City",,,"13,943","2,315",172,18,"16,448"
"Chesapeake City",,,"38,459","33,108",849,31,"72,447"
"Chesterfield County",,,"58,991","58,297","1,323",58,"118,669"
"Clarke County",,,"2,400","3,102",65,5,"5,572"
"Colonial Heights City",,,"1,389","3,710",63,2,"5,164"
"Covington City",,,545,784,12,1,"1,342"
"Craig County",,,413,"1,398",28,2,"1,841"
"Culpeper County",,,"4,990","8,423",162,12,"13,587"
"Cumberland County",,,"1,292","1,810",33,0,"3,135"
"Danville City",,,"6,304","4,664",53,7,"11,028"
"Dickenson County",,,959,"2,458",25,3,"3,445"
"Dinwiddie County",,,"3,712","4,565",56,2,"8,335"
"Emporia City",,,909,702,22,0,"1,633"
"Essex County",,,"1,730","1,963",26,4,"3,723"
